The recipe,Source file count,Source file changed count,Cumulative scanning time (ns),Max scanning time (ns),Cumulative edit time (ns),Max edit time (ns)
The recipe whose stats are being measured both individually and cumulatively.,The number of source files the recipe ran over.,"The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.",The total time spent across the scanning phase of this recipe.,The max time scanning any one source file.,The total time spent across the editing phase of this recipe.,The max time editing any one source file.
org.openrewrite.java.spring.boot2.MigrateApplicationHealthIndicatorToPingHealthIndicator,10,9,35662,12774,73001,12655
org.openrewrite.java.migrate.DeprecatedCountStackFramesMethod,10,9,4746,660,28518,8986
org.openrewrite.java.migrate.javax.MigrateXMLOutputFactoryNewInstanceToNewFactory,10,9,5435,726,9093,1190
org.openrewrite.java.spring.boot2.OutputCaptureExtension,10,9,0,0,154719,13225
org.openrewrite.java.dependencies.UpgradeDependencyVersion,10,9,870244093,403772137,451444116,55150722
org.openrewrite.maven.UpgradeDependencyVersion,10,9,677122,387256,992642,715390
org.openrewrite.java.spring.batch.ReplaceSupportClassWithItsInterface,10,9,0,0,247531,30105
org.openrewrite.java.migrate.jakarta.JavaxPersistenceToJakartaPersistence,10,9,18897,2076,65646,5665
org.openrewrite.java.testing.mockito.CleanupPowerMockImports,10,9,0,0,211475,23413
org.openrewrite.java.migrate.javax.AddJaxwsDependencies,10,9,14342,1485,50305,17462
org.openrewrite.java.migrate.ReplaceLocalizedStreamMethods,10,9,0,0,1093689,183561
org.openrewrite.java.testing.testcontainers.AddTestcontainersAnnotations,10,9,0,0,10487,2520
org.openrewrite.java.spring.security6.UpdateRequestCache,10,9,0,0,47273,10102
org.openrewrite.java.spring.batch.MigrateJobParameter,10,9,0,0,288680,157858
org.openrewrite.java.spring.framework.MigrateSpringAssert,10,9,13662,2227,17933,2250
org.openrewrite.java.spring.security5.UpgradeSpringSecurity_5_8,10,9,6631,785,30136,8901
org.openrewrite.java.ReorderMethodArguments,10,9,0,0,1942913,240032
org.openrewrite.java.migrate.Java8toJava11,10,9,6752,815,16897,1859
org.openrewrite.java.migrate.InternalBindPackages,10,9,7218,1382,46055,5756
org.openrewrite.java.spring.security5.UpgradeSpringSecurity_5_7,10,9,25550,2401,71709,13480
org.openrewrite.RenameFile,10,9,0,0,88706515,32559405
org.openrewrite.apache.httpclient4.MappingDeprecatedClasses,10,9,10125,3263,12167,1683
org.openrewrite.java.migrate.lang.JavaLangAPIs,10,9,7670,699,30075,11787
org.openrewrite.java.spring.boot2.UnnecessarySpringExtension,10,9,0,0,10691127,7231183
org.openrewrite.java.migrate.jakarta.JavaxBeanValidationXmlToJakartaBeanValidationXml,10,9,10694,1409,19462,1776
org.openrewrite.java.migrate.javax.MigrateElementScanner6To9,10,9,5294,677,22371,6452
org.openrewrite.java.testing.junit5.AddMissingTestBeforeAfterAnnotations,10,9,0,0,2642722,558776
org.openrewrite.java.testing.junit5.UseTestMethodOrder,10,9,0,0,117079,31367
org.openrewrite.java.testing.junit5.EnclosedToNested,10,9,0,0,65300,6448
org.openrewrite.java.migrate.BouncyCastleFromJdk15OnToJdk15to18,10,9,5962,678,25347,7408
org.openrewrite.java.migrate.lang.MigrateRuntimeVersionSecurityToUpdate,10,9,5172,701,19537,4989
org.openrewrite.java.migrate.javax.MigrateAbstractAnnotationValueVisitor6To9,10,9,6532,726,11206,1205
org.openrewrite.java.spring.security6.RequireExplicitSavingOfSecurityContextRepository,10,9,0,0,65971,7595
org.openrewrite.java.testing.arquillian.ArquillianJUnit4ToArquillianJUnit5,10,9,0,0,102760,38528
org.openrewrite.java.migrate.AddMissingMethodImplementation,10,9,0,0,827844,52985
org.openrewrite.java.migrate.BounceCastleFromJdk15OntoJdk18On,10,9,6289,915,56696,11713
